parlay_size,leg,player_name,team,prop_type,direction,prop_line,hit_prob,combined_hit_prob,payout_mult,ev_multiplier
2,1,Casemiro,Man Utd,SOT,UNDER,1.5,0.9832494265736879,0.9178,3.0,1.753
2,2,Ayden Heaven,Man Utd,Shots,UNDER,1.5,0.9622934392789553,0.9178,3.0,1.753
3,1,Casemiro,Man Utd,SOT,UNDER,1.5,0.9832494265736879,0.8131,5.0,3.066
3,2,Ayden Heaven,Man Utd,Shots,UNDER,1.5,0.9622934392789553,0.8131,5.0,3.066
3,3,Trevoh Chalobah,Chelsea,SOT,UNDER,0.5,0.9325635411903812,0.8131,5.0,3.066
4,1,Casemiro,Man Utd,SOT,UNDER,1.5,0.9832494265736879,0.6847,10.0,5.847
4,2,Ayden Heaven,Man Utd,Shots,UNDER,1.5,0.9622934392789553,0.6847,10.0,5.847
4,3,Trevoh Chalobah,Chelsea,SOT,UNDER,0.5,0.9325635411903812,0.6847,10.0,5.847
4,4,Jorrel Hato,Chelsea,Shots,UNDER,1.5,0.9138784037190295,0.6847,10.0,5.847
